,p_id,replyid,p_username,p_up,p_date,p_content
0,832464,476953,车质网用户3095900,0,2小时前,OK
1,818773,476953,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
2,818689,476953,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
3,818666,476953,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
4,818662,476953,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
5,818615,476953,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
6,818613,476953,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
7,818600,476953,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
8,832464,476863,车质网用户3095900,0,2小时前,OK
9,818773,476863,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
10,818689,476863,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
11,818666,476863,WLDRA,0,2022-03-01 10:33,感觉是真不错，这一代GS8的外观是真的吸引人，看上去是特别的霸气，而且整体配置也高，蛮不错的
12,818662,476863,老木匠的房子,0,2022-03-01 10:31,"外观设计时尚感强，很符合我的审美，我很喜欢。内饰其实挺好的，配色也是我想要的，配置丰富，科技感很足。
"
13,818615,476863,famous911,0,2022-03-01 09:31,第二代广汽传祺GS8配置真是不低，全系自动空调，动力使用的还是丰田同款的双擎系统，油耗控制也更出色，性价比相当高
14,818613,476863,黄焖鸡,0,2022-03-01 09:28,这大灯看着是真的挺不错的，个人很喜欢的这种设计，不过据说新款开起来也不错
15,818600,476863,黄焖鸡咯咯哒,0,2022-03-01 09:13,这车气势是真的足，之前GS8就挺好看的，新的这个更精致了
16,832464,476358,车质网用户3095900,0,2小时前,OK
17,818773,476358,66的人,1,2022-03-01 17:37,这么大的车，加上油电混动，真是绝绝子。
18,818689,476358,别人家的孩子,0,2022-03-01 11:19,丰田的混动系统，还是比较值的，再加上GS8的大空间，产品蛮好的
