,id,targetId,addtime,userId,nickName,content,isHot
0,87045,172613,2022-04-15 09:28:38,197519,窜天猴,确实有了，推背感极强,0
1,87004,172613,2022-04-14 19:07:37,236079,兔子喵,所以年轻人，有钱是这么好（狗头）,0
2,87001,172613,2022-04-14 17:39:13,213400,黄河,"这位编辑，您好，先不说这篇文章的其它问题，就说零百测试这几张图和结论，甚至是文字描述是您自己产出的么？其中特斯拉Model 3的我怎么看着和去年2月23日一篇自媒体文章里的图片和文字很像呢？而汉EV怎么和某之家汉 2020款 EV 四驱高性能版旗舰型 0-100km/h加速测试内容一致呢？

作为编辑，麻烦请专业一些，如果引用别人数据，请注明转载，或者最起码别让人看出来",0
3,86992,172613,2022-04-14 15:49:32,2,贵EV·JOM3KT37,极氪没毛病,0
4,86980,172613,2022-04-14 11:01:18,234757,001-阿峰,价格都不便宜，其实家用车真没必要那么快的，没太大用处,0
5,86974,172613,2022-04-14 10:44:20,197519,窜天猴,厉害了，车越来越快,0
6,86970,172613,2022-04-14 10:06:13,7711,pen204,还是支持比亚迪，不为什么，民族之光,0
7,86958,172613,2022-04-14 09:14:27,1846,00,都还可以。只是价格,0
8,86955,172613,2022-04-14 08:56:14,235464,侯老湿,35万也不便宜,0
9,84675,170246,2022-03-18 13:06:38,235464,侯老湿,车机系统就是pad感觉,0
10,84676,170002,2022-03-18 13:07:02,235464,侯老湿,特斯拉又又涨价了,0
11,84677,168999,2022-03-18 13:07:23,235464,侯老湿,车灯萌萌哒,0
12,82558,168999,2022-03-03 07:45:11,234428,136****2861,(σ≧∀≦)σ,0
13,82559,168999,2022-03-03 07:45:11,170976,冬不拉,/(ㄒoㄒ)/~~,0
14,82139,168999,2022-02-28 13:06:45,233222,189****0436,乀(ˉεˉ乀),0
15,82140,168999,2022-02-28 13:06:45,233223,170****1990,(๑´ڡ`๑),0
16,84930,168927,2022-03-21 07:29:20,236079,兔子喵,我是y,0
17,82557,168927,2022-03-03 07:44:31,234428,136****2861,(σ≧∀≦)σ,0
18,82556,168927,2022-03-03 07:44:30,170976,冬不拉,/(ㄒoㄒ)/~~,0
19,82141,168927,2022-02-28 13:07:21,233222,189****0436,乀(ˉεˉ乀),0
20,82142,168927,2022-02-28 13:07:21,233223,170****1990,(๑´ڡ`๑),0
21,82143,166722,2022-02-28 13:07:52,233222,189****0436,乀(ˉεˉ乀),0
22,82144,166722,2022-02-28 13:07:52,233223,170****1990,(๑´ڡ`๑),0
23,77198,166722,2022-01-25 09:49:57,32239,天昭,666666,0
24,82146,166213,2022-02-28 13:08:18,233222,189****0436,乀(ˉεˉ乀),0
25,82145,166213,2022-02-28 13:08:17,233223,170****1990,(๑´ڡ`๑),0
26,78693,166213,2022-02-05 21:06:40,234428,136****2861,(σ≧∀≦)σ,0
27,78692,166213,2022-02-05 21:06:28,170976,冬不拉,/(ㄒoㄒ)/~~,0
28,78691,166213,2022-02-05 21:06:10,170976,冬不拉,/(ㄒoㄒ)/~~,0
29,77842,166213,2022-01-29 21:14:30,233705,乌托,不错不错不错,0
30,76558,166213,2022-01-20 07:37:42,32239,天昭,666666,0
31,76250,166213,2022-01-17 21:46:14,196143,李佃驰,多少同规格车型送评？,0
32,76147,166213,2022-01-16 14:15:59,234383,130****1410,正面40%碰撞试验13.657分,0
33,76111,166213,2022-01-15 21:10:26,232441,大小哆少,埃安用结果说明在安全这方面不是说说而已,0
34,76110,166213,2022-01-15 21:10:19,232442,莫连前尘缘,还的是国产品牌的车，既安全又靠谱,0
35,82148,165808,2022-02-28 13:08:37,233223,170****1990,(๑´ڡ`๑),0
36,82147,165808,2022-02-28 13:08:36,233222,189****0436,乀(ˉεˉ乀),0
37,79012,165808,2022-02-08 08:24:59,170976,冬不拉,/(ㄒoㄒ)/~~,0
38,79013,165808,2022-02-08 08:24:59,234428,136****2861,(σ≧∀≦)σ,0
39,79011,165808,2022-02-08 08:24:58,234428,136****2861,(σ≧∀≦)σ,0
40,77843,165808,2022-01-29 21:14:40,233705,乌托,不错不错不错不错,0
41,76559,165808,2022-01-20 07:38:08,32239,天昭,666666,0
42,78762,165652,2022-02-06 12:01:08,233223,170****1990,<(＃＃)>彡烤红薯,0
43,77610,165652,2022-01-27 20:32:56,233222,189****0436,(๑´ڡ`๑),0
44,75822,165652,2022-01-10 06:56:08,32239,天昭,666666,0
45,78763,164980,2022-02-06 12:01:11,233222,189****0436,(￣￢￣*）流口水,0
46,75669,164980,2022-01-06 07:37:22,32239,天昭,666666,0
47,79145,164726,2022-02-09 08:50:01,204245,川EV·J5GIV135,说实话，当我看到最后一张照片的时候，心一下子就凉了。是不是还差些部件没装呢？这明显完成度没达标就放出来了呀！,0
48,78767,164726,2022-02-06 12:02:08,233222,189****0436,(๑>؂<๑）想吃肉,0
49,78766,164726,2022-02-06 12:02:07,233223,170****1990,>°)##><  烤鱼,0
50,78765,164726,2022-02-06 12:01:28,233222,189****0436,(๑>؂<๑）想吃肉,0
51,78764,164726,2022-02-06 12:01:27,233223,170****1990,<(＃＃)>彡烤红薯,0
52,75614,164726,2022-01-04 22:29:21,32239,天昭,6666666,0
53,78769,164685,2022-02-06 12:02:23,233222,189****0436,(๑´ڡ`๑),0
54,78768,164685,2022-02-06 12:02:22,233223,170****1990,乀(ˉεˉ乀),0
55,75670,164685,2022-01-06 07:37:58,32239,天昭,6666666,0
56,75209,164685,2021-12-26 19:51:18,192996,川EV·SCWO4GG0,品质是根本哦，顶一个！！！,0
57,75205,164685,2021-12-26 15:10:13,30003,第一电动客服,关注小鹏P5的车友，可加运营微信diyidiandong，回复小鹏P5邀请您加入群聊。,0
58,79014,164537,2022-02-08 08:25:51,170976,冬不拉,/(ㄒoㄒ)/~~,0
59,79015,164537,2022-02-08 08:25:51,234428,136****2861,(σ≧∀≦)σ,0
60,75671,164537,2022-01-06 07:38:21,32239,天昭,6666666,0
61,75124,164537,2021-12-24 11:57:49,235224,电动车主KC92,看第二排空间，看第二排空间，看第二排空间，完了！,0
62,82149,164352,2022-02-28 13:09:14,233222,189****0436,乀(ˉεˉ乀),0
63,82150,164352,2022-02-28 13:09:14,233223,170****1990,(๑´ڡ`๑),0
64,80712,164352,2022-02-18 13:27:59,234428,136****2861,(σ≧∀≦)σ,0
65,80711,164352,2022-02-18 13:27:20,170976,冬不拉,/(ㄒoㄒ)/~~,0
66,75672,164352,2022-01-06 07:38:41,32239,天昭,666666,0
67,77499,164108,2022-01-27 08:55:20,234061,飞扬,不错，很喜欢,0
68,74832,164108,2021-12-20 12:12:07,32239,天昭,666666666,0
69,74833,163841,2021-12-20 12:12:23,32239,天昭,66666666,0
70,74703,163841,2021-12-18 07:27:23,234061,飞扬,999999,0
71,74614,163841,2021-12-16 22:43:32,233929,小鹿,6666666,0
72,74575,163841,2021-12-16 10:46:30,234060,英英,欧美皮卡，轻量化。,0
73,74704,163245,2021-12-18 07:27:42,234061,飞扬,666666,0
74,74513,163245,2021-12-15 12:22:41,233886,文丽,奔驰宝马路虎揽胜极光,0
75,74355,163245,2021-12-13 08:25:35,32239,天昭,6666666666,0
76,74252,163245,2021-12-11 10:32:45,228387,176****1269,关注,0
77,74216,163245,2021-12-10 23:58:40,174721,if,👍,0
78,74217,163245,2021-12-10 23:58:40,174721,if,👍,0
79,74210,163245,2021-12-10 22:23:11,233929,小鹿,6666666,0
80,74054,163245,2021-12-08 16:00:27,233520,鱼鱼,赞,0
81,76411,162544,2022-01-19 01:49:35,233222,189****0436,ԅ(¯﹃¯ԅ),0
82,74514,162544,2021-12-15 12:22:56,233886,文丽,奔驰宝马路虎揽胜极光,0
83,74356,162544,2021-12-13 08:26:09,32239,天昭,6666666666,0
84,74705,162364,2021-12-18 07:28:04,234061,飞扬,666666,0
85,72336,162364,2021-11-29 08:38:15,32239,天昭,赞,0
86,74515,161982,2021-12-15 12:23:20,233886,文丽,奔驰宝马路虎揽胜极光,0
87,74706,161878,2021-12-18 07:28:17,234061,飞扬,666666,0
88,74254,161878,2021-12-11 10:54:56,228387,176****1269,关注,0
89,72337,161878,2021-11-29 08:38:35,32239,天昭,赞,0
90,74707,161759,2021-12-18 07:28:39,234061,飞扬,66666,0
91,71737,161759,2021-11-22 08:37:58,32239,天昭,赞,0
92,71692,160481,2021-11-21 20:51:26,233520,鱼鱼,可以,0
93,71664,160481,2021-11-21 09:11:39,32239,天昭,赞,0
94,71265,160481,2021-11-17 07:00:51,234061,飞扬,赞,0
95,71150,160481,2021-11-16 06:54:18,233705,乌托,赞,0
96,70578,160481,2021-11-09 08:09:43,228387,176****1269,关注,0
97,71665,160199,2021-11-21 09:12:00,32239,天昭,赞,0
98,70579,160199,2021-11-09 08:10:14,228387,176****1269,关注,0
99,74708,159834,2021-12-18 07:29:03,234061,飞扬,66666,0
100,71666,159834,2021-11-21 09:12:25,32239,天昭,赞,0
101,71151,159834,2021-11-16 06:54:43,233705,乌托,赞,0
102,69950,159834,2021-11-02 15:34:41,213460,文隆,不错,0
103,69829,159834,2021-11-01 16:08:13,213460,文隆,空间挺大的,0
104,71667,159690,2021-11-21 09:12:50,32239,天昭,赞,0
105,69672,159690,2021-10-30 21:09:23,228387,176****1269,关注,0
106,69652,159690,2021-10-30 12:42:13,213460,文隆,厉害,0
107,69653,159204,2021-10-30 12:42:30,213460,文隆,不错,0
108,69533,159204,2021-10-29 07:39:19,32239,天昭,赞,0
109,68881,159204,2021-10-23 07:42:25,234061,飞扬,赞,0
110,68880,159204,2021-10-23 07:42:22,234061,飞扬,赞,0
111,78876,159201,2022-02-07 08:20:43,234428,136****2861,(σ≧∀≦)σ,0
112,78875,159201,2022-02-07 08:20:42,170976,冬不拉,/(ㄒoㄒ)/~~,0
113,68882,159201,2021-10-23 07:42:32,234061,飞扬,赞,0
114,69673,159053,2021-10-30 21:14:26,228387,176****1269,关注,0
115,69051,159053,2021-10-25 07:09:29,32239,天昭,赞,0
116,68977,159053,2021-10-24 07:21:24,233886,文丽,赞,0
117,68959,159053,2021-10-24 06:58:38,234061,飞扬,赞,0
118,68931,159053,2021-10-23 23:11:02,228387,176****1269,这。,0
119,68883,159053,2021-10-23 07:42:42,234061,飞扬,赞,0
120,68815,159053,2021-10-22 23:52:06,230220,小蚂蚁,赞,0
121,68801,159053,2021-10-22 21:29:53,233929,小鹿,666,0
122,68794,159053,2021-10-22 16:41:21,7711,pen204,赞,0
