,replyid,sourceid,content,authorid,author,supports,showTime
0,135548,161415,OK,1891334,邦友36149a77,0,2022-04-21 11:18:20
1,135509,161401,我只是想要一个grandsphere………………………,1891313,邦友23be0559,0,2022-04-20 18:39:35
2,135511,161401,多少钱是最重要的？,1891314,邦友30f55030,0,2022-04-20 17:06:24
3,135513,161401,这前脸灯组稍微撞一下不得修安逸,224290,高铭,0,2022-04-20 14:32:09
4,135516,161401,德国人造车终于也要模仿中国人了，高合NB！,1891316,邦友d26d142a,0,2022-04-20 11:24:54
5,135517,161401,跟id.6找的灵感吗？好他妈丑,1891317,邦友c7647d9b,0,2022-04-20 11:16:40
6,135518,161401,不就是高合吗？,1891318,邦友12081863,0,2022-04-20 10:47:42
7,135520,161401,概念真好，大众叫ID，奥迪可以叫OD，反正差不多的一个模子,228267,鹿先生,0,2022-04-20 10:14:54
8,135514,161401,这不就是高合x,1891315,邦友99ee3482,0,2022-04-20 10:09:56
9,135521,161401,什么自动驾驶科技配置都是浮云，只要部件技术提高，随时都能添加，电动车，核心还是提高电池实际续航，安全性稳定性，充电速度。,1891319,邦友4229c1bd,0,2022-04-20 09:58:29
10,135522,161401,挖了高合的团队[呲牙],1891320,邦友5ed90b6b,0,2022-04-20 09:48:04
11,135524,161401,发个最佳参与奖安慰安慰设计师吧[旺柴][旺柴],193081,J-Clown,0,2022-04-20 09:32:56
12,135525,161401,去灯饰城一定卖得更好,252609,yang,0,2022-04-20 09:28:19
13,135526,161401,按照尺寸，多像加大版的唐吗,161370,天堂没有猪,0,2022-04-20 09:14:36
14,135527,161401,这么丑的前脸？,256751,Han.A,0,2022-04-20 09:02:27
15,135528,161401,第一眼以为是高合,1891321,邦友e14b3578,0,2022-04-20 09:01:44
16,135529,161401,后排空间太大没有安全感，特别是没系安全带，大部分城区乘坐后排都是不系安全带的，一个急刹爽歪歪,1891322,邦友01f8d901,0,2022-04-20 08:40:38
17,135531,161401,再怎么奥迪也是一个电池加四个轮子了，没有发动机没有灵魂了,1891323,邦友339ecc24,0,2022-04-20 08:39:05
18,135532,161401,突然想到 水晶行业的 施华洛世奇。,176271,张晓河TEM,0,2022-04-20 08:34:55
19,135533,161401,加长版的唐,1891324,邦友ac4cb997,0,2022-04-20 08:19:10
